trade_id,trader_id,asset_id,trade_type,quantity,price,trade_date
58,679,7,SELL,616,2774.55,2023-10-24
59,290,3,BUY,937,2389.99,2022-08-20
60,440,10,SELL,82,961.79,2023-03-21
61,668,10,BUY,132,595.65,2022-12-21
62,933,2,SELL,40,1481.08,2024-06-16
63,7,10,SELL,248,2388.49,2024-01-26
64,196,7,BUY,51,1582.4,2023-08-29
65,421,5,SELL,977,907.62,2024-02-21
66,568,1,BUY,183,791.25,2022-01-14
67,833,10,BUY,161,1459.86,2023-07-31
68,193,8,BUY,638,1202.81,2022-08-18
69,559,3,BUY,295,1881.31,2023-12-02
70,148,7,SELL,152,48.1,2023-11-03
71,787,6,SELL,339,1900.82,2023-05-18
72,669,10,BUY,319,1430.62,2022-11-21
73,202,6,SELL,234,2403.08,2022-02-06
74,444,8,SELL,764,868.37,2024-04-28
75,914,4,BUY,316,2356.29,2023-01-19
76,988,4,BUY,366,2869.24,2022-06-10
77,419,3,BUY,640,1366.9,2023-10-02
78,427,1,SELL,354,1102.27,2024-02-14
79,479,10,SELL,478,2568.18,2024-03-09
80,475,3,BUY,52,714.36,2023-02-21
81,126,1,BUY,561,2200.94,2023-05-09
82,395,6,SELL,479,1722.3,2024-01-19
83,817,8,BUY,578,1299.74,2022-01-14
84,881,3,BUY,809,584.52,2022-07-28
85,806,4,SELL,655,49.86,2024-03-23
86,576,5,SELL,504,1619.74,2023-05-19
87,325,7,BUY,57,183.19,2023-12-29
88,392,6,BUY,110,328.52,2022-05-19
89,930,2,SELL,817,1817.2,2023-11-04
90,688,7,BUY,699,729.64,2022-06-13
91,628,8,BUY,970,2070.75,2022-03-14
92,440,1,BUY,262,452.72,2022-08-09
93,204,6,BUY,481,220.6,2024-01-25
94,486,9,BUY,192,1576.71,2024-03-25
95,833,7,BUY,919,723.19,2022-10-26
96,31,5,SELL,426,1286.95,2024-03-10
97,388,10,BUY,581,336.49,2023-08-20
98,625,10,SELL,680,885.16,2024-04-05
99,877,9,SELL,799,187.11,2022-06-27
100,434,2,BUY,398,2434.11,2022-12-19
101,837,7,BUY,710,22.98,2022-07-15
102,926,9,SELL,97,2879.13,2022-10-14
103,376,2,SELL,557,824.08,2022-05-02
104,344,10,BUY,608,243.04,2023-01-22
105,443,6,BUY,12,2567.04,2022-09-14
106,579,9,BUY,167,2008.5,2024-01-15
107,75,3,SELL,493,2559.87,2022-12-30
108,557,8,BUY,662,1643.12,2022-05-22
109,772,5,BUY,334,780.54,2022-11-14
110,666,7,BUY,291,304.65,2022-05-11
111,155,3,SELL,728,1645.73,2022-11-30
112,430,8,SELL,99,1945.64,2022-07-09
113,363,2,SELL,975,1346.0,2023-07-03
114,448,8,BUY,781,1003.86,2022-06-02
115,987,2,BUY,168,2547.77,2022-05-09
116,234,7,BUY,494,1923.64,2023-01-19
117,563,2,SELL,533,462.93,2024-03-20
118,818,7,BUY,954,2753.56,2023-12-20
119,262,1,SELL,963,520.94,2023-03-14
120,827,6,BUY,712,2677.6,2023-06-26
121,125,10,BUY,654,135.34,2023-10-06
122,911,7,BUY,754,2912.88,2022-05-09
123,245,4,SELL,191,1507.41,2023-11-11
124,542,1,BUY,236,378.14,2022-10-13
125,938,6,BUY,235,333.56,2023-08-04
126,485,4,SELL,906,1259.58,2022-04-22
127,122,3,SELL,97,1276.2,2022-12-01
128,125,4,SELL,584,1747.04,2022-06-20
129,549,6,SELL,184,1078.18,2024-03-21
130,170,5,SELL,772,1532.52,2022-05-13
131,124,2,BUY,567,1816.59,2023-10-07
132,869,2,BUY,115,2587.45,2023-01-17
133,35,3,BUY,393,2877.04,2023-04-28
134,87,6,SELL,701,2650.69,2023-05-12
135,646,1,SELL,65,254.57,2022-07-08
136,708,7,SELL,61,911.13,2024-01-02
137,786,8,BUY,952,397.96,2023-06-24
138,201,7,SELL,215,1774.42,2023-03-30
139,369,3,BUY,504,2152.61,2023-06-08
140,797,6,SELL,77,2135.18,2023-03-11
141,77,4,BUY,477,1371.13,2024-05-14
142,59,5,BUY,309,1827.21,2022-04-09
143,431,3,SELL,44,847.5,2023-11-25
144,638,5,SELL,312,2023.98,2023-01-07
145,500,6,SELL,350,473.21,2022-03-28
146,913,8,BUY,935,314.75,2022-07-11
147,109,6,SELL,23,1126.78,2023-04-01
148,736,9,BUY,661,2352.49,2023-08-20
149,278,10,SELL,359,796.09,2022-02-08
150,68,10,SELL,589,604.14,2022-08-05
151,69,10,BUY,735,2718.0,2024-04-06
152,165,10,SELL,397,1711.82,2022-03-22
153,489,4,BUY,315,594.37,2023-03-08
154,305,2,BUY,766,568.97,2023-07-14
155,909,9,SELL,794,362.38,2023-12-29
156,674,3,BUY,881,380.34,2022-01-07
157,365,7,SELL,728,2410.38,2022-03-07
158,854,4,SELL,89,2411.13,2022-11-11
159,821,1,BUY,687,2861.34,2023-05-11
160,379,8,BUY,250,899.27,2022-06-04
161,343,4,BUY,644,1724.08,2023-12-23
162,947,6,BUY,85,1616.08,2022-11-11
163,899,7,BUY,839,315.43,2022-05-14
164,554,8,SELL,70,1577.78,2023-07-30
165,354,10,BUY,326,643.71,2024-01-08
166,416,2,BUY,171,737.95,2022-11-12
167,109,9,BUY,423,2465.07,2024-05-18
168,563,10,SELL,927,902.26,2023-05-07
169,762,3,SELL,841,2340.49,2022-01-01
170,497,1,BUY,2,199.01,2022-08-29
171,341,2,BUY,469,1628.9,2022-10-03
172,942,8,BUY,519,1942.59,2022-12-12
173,383,10,BUY,513,2365.23,2023-04-18
174,533,6,BUY,647,2295.89,2023-02-14
175,300,1,SELL,9,787.23,2022-04-02
176,139,9,BUY,473,1940.06,2023-03-24
177,359,7,SELL,560,549.82,2023-12-25
178,836,10,SELL,823,487.25,2022-01-16
179,499,3,BUY,717,592.19,2023-10-11
180,385,7,SELL,95,630.0,2022-02-02
181,604,6,BUY,316,468.92,2023-02-07
182,959,3,SELL,122,1001.12,2022-07-10
183,280,8,SELL,326,2140.13,2022-03-01
184,637,1,SELL,494,2357.71,2022-12-12
185,483,5,BUY,590,1045.27,2022-01-07
186,909,8,SELL,442,2184.42,2023-11-22
187,111,3,BUY,305,2314.78,2023-07-24
188,866,10,BUY,670,1167.43,2023-10-09
189,139,6,SELL,534,2984.54,2022-02-09
190,996,10,SELL,244,1662.16,2022-01-28
191,435,2,SELL,260,2106.24,2024-03-23
192,509,9,SELL,93,310.68,2022-07-01
193,273,2,SELL,66,1697.26,2022-06-13
194,99,5,BUY,542,2201.05,2023-08-23
195,764,3,SELL,664,1599.93,2023-03-11
196,850,10,BUY,336,2546.78,2022-11-25
197,104,9,BUY,537,230.94,2023-12-22
198,214,9,BUY,577,2662.9,2022-01-30
199,761,7,SELL,972,2314.09,2022-01-31
200,664,10,BUY,871,20.62,2022-07-07
201,762,5,SELL,784,255.05,2022-12-27
202,787,9,BUY,823,325.71,2023-03-04
203,165,7,SELL,155,1235.77,2022-05-15
204,999,2,SELL,349,419.42,2023-04-28
205,853,10,BUY,124,131.83,2022-12-04
206,520,1,BUY,375,2473.35,2023-07-13
207,284,10,BUY,477,652.53,2022-12-10
208,517,10,SELL,68,1814.84,2022-09-20
209,657,4,SELL,956,1771.14,2024-01-03
210,613,10,SELL,614,2411.73,2024-02-16
211,164,8,SELL,379,1627.96,2023-11-11
212,886,6,SELL,442,2917.03,2023-05-10
213,659,2,BUY,480,1596.62,2022-05-29
214,64,5,BUY,953,2024.12,2023-03-13
215,91,9,SELL,944,2719.99,2023-07-30
216,117,6,BUY,365,2163.26,2022-02-26
217,866,6,BUY,364,2190.77,2024-02-12
218,267,7,SELL,553,183.36,2023-02-13
219,822,5,SELL,708,262.16,2022-07-20
220,685,3,SELL,162,831.16,2023-08-10
221,559,3,BUY,162,1692.77,2023-04-19
222,140,5,SELL,898,2654.51,2022-11-06
223,246,4,SELL,220,271.94,2024-03-14
224,661,5,BUY,495,434.76,2023-09-26
225,758,9,SELL,513,1591.14,2023-02-13
226,395,5,BUY,506,422.87,2024-05-16
227,487,4,SELL,87,1411.66,2023-10-06
228,476,4,SELL,742,2711.05,2024-04-04
229,517,1,SELL,805,2243.02,2024-06-05
230,977,10,SELL,851,2242.41,2023-02-13
231,184,4,SELL,699,1257.3,2024-03-15
232,20,4,SELL,987,2027.51,2023-06-01
233,937,9,SELL,427,2213.19,2022-12-28
234,558,4,BUY,627,70.39,2023-01-24
235,524,7,BUY,443,2444.94,2023-05-07
236,582,1,BUY,844,2677.02,2023-12-09
237,529,7,SELL,321,372.54,2024-06-07
238,883,2,BUY,13,2524.35,2022-10-20
239,147,8,BUY,367,1081.15,2023-01-03
240,666,1,BUY,257,960.94,2022-10-30
241,304,10,BUY,173,1818.95,2022-06-26
242,620,3,BUY,74,2438.43,2022-11-22
243,748,8,SELL,142,1196.45,2023-02-03
244,820,10,BUY,936,1902.53,2024-04-15
245,864,8,BUY,918,2487.75,2023-07-03
246,582,5,BUY,639,2354.16,2022-11-19
247,695,5,SELL,430,835.97,2023-07-09
248,762,8,SELL,101,2120.98,2022-05-02
249,228,10,BUY,212,1916.31,2023-06-25
250,102,5,SELL,760,2075.57,2023-07-27
251,587,9,SELL,250,1278.93,2023-11-28
252,417,1,BUY,47,70.85,2023-02-07
253,958,5,SELL,699,1029.37,2022-09-08
254,216,3,BUY,860,2215.74,2022-04-23
255,407,3,SELL,396,2326.11,2024-01-27
256,399,2,SELL,825,2611.27,2024-05-15
257,923,3,SELL,464,700.27,2022-07-24
258,715,7,BUY,65,1957.63,2023-03-06
259,704,8,SELL,914,611.65,2023-03-03
260,761,8,SELL,708,519.83,2023-12-16
261,499,8,SELL,582,2104.69,2024-01-19
262,754,1,SELL,570,529.7,2023-05-06
263,465,7,SELL,691,106.49,2023-10-30
264,691,2,BUY,830,1822.73,2023-10-13
265,949,10,SELL,958,112.35,2023-12-12
266,974,4,SELL,881,1614.74,2023-06-30
267,731,5,BUY,108,2416.55,2022-03-12
268,82,1,BUY,931,141.93,2023-11-14
269,604,4,BUY,716,2013.37,2023-09-16
270,947,4,SELL,795,227.71,2022-05-17
271,687,9,BUY,696,1871.95,2022-07-17
272,751,9,SELL,541,2614.34,2022-09-05
273,772,10,SELL,43,1294.12,2024-02-13
274,903,1,BUY,373,1140.07,2022-03-23
275,365,8,BUY,17,2469.3,2022-08-01
276,163,4,BUY,933,1886.41,2022-08-16
277,48,4,SELL,40,1355.65,2023-05-19
278,511,5,SELL,254,1890.78,2023-10-10
279,329,2,SELL,91,910.62,2023-07-26
280,840,1,SELL,697,2737.12,2024-02-07
281,116,5,BUY,902,29.17,2024-04-26
282,941,7,SELL,356,812.61,2023-07-22
283,849,10,SELL,187,2516.58,2023-02-08
284,337,9,BUY,955,604.83,2022-09-18
285,881,2,BUY,621,712.14,2023-04-14
286,737,8,SELL,885,1689.45,2023-10-19
287,864,7,SELL,755,2031.49,2022-08-10
288,840,2,SELL,967,135.07,2022-12-20
289,147,5,BUY,555,2486.56,2022-05-12
290,575,7,SELL,634,1709.29,2022-12-30
291,806,3,SELL,384,152.62,2022-09-18
292,323,2,BUY,84,1621.59,2022-08-18
293,443,6,BUY,458,499.82,2022-05-18
294,837,10,BUY,911,431.56,2022-11-27
295,13,6,SELL,15,1687.82,2024-06-14
296,943,4,BUY,87,2122.02,2022-06-13
297,494,1,BUY,10,865.11,2022-01-18
298,701,5,BUY,836,2727.92,2022-02-04
299,287,1,SELL,801,1269.24,2023-02-12
300,720,8,BUY,460,1103.6,2024-04-19
301,114,2,BUY,777,1732.77,2024-03-28
302,480,9,BUY,411,2355.51,2023-08-06
303,22,9,SELL,446,248.82,2023-08-08
304,349,3,BUY,890,2546.11,2023-12-27
305,726,6,BUY,11,1503.33,2023-06-11
306,683,9,SELL,224,1568.79,2022-04-24
307,835,7,SELL,399,2495.6,2022-08-09
308,566,4,BUY,199,1678.5,2022-10-28
309,906,3,SELL,602,1345.16,2022-03-17
310,810,2,BUY,264,2484.99,2022-05-12
311,320,10,SELL,325,2895.25,2022-03-27
312,126,10,SELL,194,2253.72,2023-04-20
313,277,1,SELL,130,2745.75,2023-09-18
314,976,10,BUY,458,2334.57,2024-03-14
315,204,1,SELL,913,2372.67,2022-09-04
316,194,4,BUY,333,671.88,2022-05-14
317,681,4,SELL,521,2785.04,2022-03-27
318,664,9,BUY,464,351.36,2022-09-03
319,547,10,SELL,839,1598.84,2023-12-12
320,696,1,BUY,76,48.45,2022-09-08
321,286,4,BUY,4,1100.72,2022-01-11
322,57,3,BUY,757,2062.21,2024-05-04
323,734,9,BUY,31,115.14,2023-07-10
324,303,5,BUY,224,225.23,2022-09-19
325,163,9,SELL,740,1605.9,2022-09-09
326,19,10,BUY,899,185.94,2024-05-30
327,370,6,SELL,41,924.73,2022-08-07
328,264,9,SELL,647,2285.88,2023-01-26
329,794,1,SELL,194,965.96,2023-01-21
330,113,4,SELL,587,1194.11,2022-08-01
331,488,4,SELL,178,2310.43,2022-06-11
332,327,10,BUY,572,453.97,2022-06-12
333,542,10,SELL,967,2512.04,2022-08-21
334,647,6,BUY,303,39.59,2022-12-18
335,579,10,BUY,569,717.96,2022-09-12
336,65,1,SELL,340,1222.47,2022-08-16
337,292,10,BUY,406,651.66,2022-02-02
338,25,5,SELL,278,2502.05,2024-05-07
339,549,3,BUY,857,2787.19,2024-04-11
340,1,1,BUY,786,878.1,2023-12-12
341,911,6,SELL,714,390.5,2023-08-05
342,549,3,BUY,702,2430.2,2022-03-24
343,141,4,BUY,882,2982.78,2022-05-20
344,744,9,BUY,485,1809.95,2022-09-18
345,648,2,SELL,780,2956.18,2024-01-04
346,901,1,SELL,29,77.47,2023-09-12
347,188,10,BUY,259,2324.73,2023-09-19
348,128,6,BUY,949,1514.91,2022-11-30
349,201,1,SELL,887,1194.5,2022-01-24
350,127,1,BUY,538,1755.03,2023-10-27
351,257,7,SELL,465,729.76,2023-10-13
352,676,2,SELL,724,1428.33,2022-12-15
353,547,4,BUY,180,1517.02,2022-05-12
354,194,4,SELL,996,2285.06,2023-01-18
355,703,2,SELL,995,1686.69,2022-08-15
356,104,6,BUY,724,1669.94,2023-03-16
357,535,10,SELL,487,115.17,2023-12-20
358,265,2,BUY,590,2531.82,2024-02-21
359,802,8,BUY,874,1333.64,2023-06-01
360,942,4,SELL,681,2632.55,2022-11-01
361,974,1,SELL,250,2545.72,2024-05-22
362,384,7,BUY,653,1780.27,2023-12-23
363,260,6,SELL,888,46.49,2022-06-10
364,414,6,BUY,680,1297.29,2024-03-04
365,991,3,BUY,604,796.58,2023-10-30
366,358,10,BUY,997,520.54,2024-01-08
367,75,7,BUY,51,1608.7,2022-03-11
368,355,6,SELL,864,1109.44,2022-11-11
369,584,10,BUY,898,2223.01,2022-07-30
370,771,10,SELL,164,746.37,2022-08-20
371,910,9,BUY,270,1671.48,2022-05-03
372,188,3,BUY,768,1519.68,2022-08-07
373,973,3,BUY,666,1230.76,2024-04-16
374,685,4,BUY,706,2586.52,2023-10-30
375,992,3,SELL,907,1819.37,2023-05-07
376,290,4,BUY,713,2316.91,2023-10-21
377,45,6,BUY,50,2431.36,2023-10-05
378,573,1,SELL,484,453.03,2022-05-14
379,83,2,BUY,381,229.97,2024-03-10
380,123,10,SELL,327,264.27,2022-06-26
381,358,6,BUY,419,1369.96,2023-03-05
382,528,6,BUY,977,1164.53,2022-08-05
383,66,1,BUY,730,2849.87,2023-11-25
384,936,6,BUY,925,1289.97,2023-12-30
385,657,9,BUY,550,448.01,2022-12-17
386,375,8,BUY,289,501.77,2023-03-27
387,162,10,BUY,331,1022.92,2023-01-12
388,746,5,BUY,226,2551.75,2023-01-25
389,380,4,BUY,390,2073.25,2023-03-03
390,656,6,SELL,146,2311.43,2022-12-26
391,358,5,BUY,159,950.48,2023-11-12
392,188,6,SELL,847,1512.54,2023-11-23
393,322,10,SELL,734,2696.29,2022-04-14
394,450,3,SELL,747,2030.89,2023-08-12
395,474,7,SELL,845,2110.63,2023-05-21
396,13,8,BUY,133,440.75,2022-11-28
397,184,5,BUY,724,1929.66,2024-06-13
398,111,5,BUY,296,1899.35,2023-12-28
399,927,4,BUY,512,2300.19,2022-01-18
400,508,10,BUY,431,2004.91,2023-07-02
401,290,5,SELL,831,2118.37,2023-07-10
402,295,10,SELL,850,2421.31,2023-07-02
403,451,8,SELL,555,2268.41,2023-08-10
404,904,5,BUY,514,2058.27,2023-02-13
405,215,9,BUY,332,1259.34,2023-01-03
406,974,1,SELL,404,377.5,2023-02-08
407,632,7,SELL,369,960.91,2023-05-04
408,894,5,SELL,762,2102.72,2022-03-19
409,567,4,SELL,755,2954.84,2022-10-12
410,27,3,BUY,280,626.23,2023-05-15
411,630,10,SELL,73,466.05,2023-12-15
412,733,7,SELL,366,1465.47,2022-04-19
413,231,2,SELL,675,2412.59,2022-07-20
414,565,5,SELL,695,198.46,2022-04-10
415,807,2,SELL,948,2575.34,2023-01-19
416,321,7,BUY,479,538.36,2023-06-06
417,913,6,SELL,45,1637.91,2023-11-15
418,233,10,SELL,303,1775.54,2023-02-14
419,670,7,SELL,349,1030.06,2024-06-06
420,437,9,SELL,379,1567.94,2024-01-20
421,781,2,BUY,51,1183.99,2023-09-19
422,533,9,SELL,885,2767.81,2023-08-08
423,403,7,SELL,889,81.82,2023-07-31
424,53,2,BUY,285,2606.12,2022-07-21
425,787,10,BUY,964,240.39,2023-05-12
426,313,2,SELL,360,1637.07,2022-11-17
427,281,4,BUY,690,2994.39,2024-01-27
428,726,2,BUY,123,629.74,2023-12-12
429,31,1,BUY,249,1285.97,2024-04-01
430,337,6,BUY,14,1356.87,2022-09-14
431,183,10,BUY,668,2024.09,2022-07-30
432,23,5,SELL,58,944.74,2023-12-21
433,544,3,BUY,33,2475.86,2023-01-17
434,446,1,BUY,360,639.42,2023-11-19
435,74,9,BUY,72,2987.49,2023-08-13
436,10,8,SELL,563,2524.07,2022-04-06
437,484,6,BUY,385,111.15,2023-06-24
438,456,6,SELL,324,2104.71,2023-01-27
439,566,4,BUY,541,461.18,2022-07-06
440,564,2,SELL,291,2442.0,2024-06-03
441,660,4,SELL,914,1142.07,2024-03-11
442,160,2,SELL,102,773.75,2023-09-17
443,882,7,BUY,639,289.25,2022-07-20
444,14,9,SELL,940,823.12,2023-01-01
445,178,2,SELL,311,181.13,2023-10-05
446,412,9,SELL,882,2970.35,2023-11-11
447,878,9,BUY,164,797.15,2023-06-26
448,53,8,SELL,360,910.61,2022-09-22
449,408,1,BUY,640,1066.27,2024-03-01
450,847,5,SELL,659,1279.75,2023-01-30
451,22,10,BUY,689,1005.02,2024-05-16
452,30,4,BUY,636,1752.98,2023-04-15
453,703,7,SELL,789,1834.25,2023-06-09
454,260,8,BUY,247,145.62,2022-07-22
455,205,10,SELL,181,1692.5,2022-12-09
456,59,8,BUY,123,2616.24,2023-03-23
457,471,2,BUY,80,478.37,2022-09-27
458,776,3,SELL,70,997.77,2022-07-31
459,466,10,BUY,346,1825.38,2023-03-28
460,12,10,BUY,513,1878.47,2022-09-16
461,631,7,BUY,82,231.2,2024-02-16
462,927,4,BUY,235,1284.26,2022-11-15
463,974,6,BUY,769,122.96,2022-02-23
464,290,8,BUY,539,2785.66,2022-01-13
465,850,8,SELL,147,2034.16,2023-04-18
466,760,7,SELL,483,308.47,2023-12-09
467,354,2,SELL,90,1961.86,2024-03-29
468,639,2,SELL,380,305.13,2022-04-11
469,75,3,BUY,308,178.35,2022-10-31
470,873,4,SELL,207,653.66,2022-01-28
471,716,1,BUY,710,2919.01,2022-08-07
472,561,5,SELL,63,1741.61,2022-04-07
473,591,7,BUY,863,983.02,2023-08-10
474,441,10,BUY,226,206.32,2024-01-10
475,991,5,SELL,253,56.64,2022-03-31
476,241,7,BUY,241,2683.64,2022-08-27
477,861,5,BUY,366,1446.36,2023-04-19
478,154,10,SELL,977,282.76,2022-12-10
479,786,8,BUY,378,1640.13,2022-11-17
480,96,7,BUY,323,205.03,2024-02-20
481,726,1,SELL,747,1221.85,2022-03-08
482,294,1,BUY,340,2733.23,2023-06-10
483,209,5,SELL,130,2779.45,2023-08-14
484,343,2,BUY,37,2857.74,2024-03-17
485,88,9,BUY,181,436.78,2022-11-01
486,818,2,SELL,713,558.25,2022-06-14
487,776,9,SELL,471,2554.41,2022-02-04
488,937,10,SELL,225,316.53,2023-07-10
489,390,2,BUY,551,47.05,2023-03-20
490,325,4,BUY,635,2100.21,2023-07-10
491,940,3,SELL,384,1336.35,2022-09-16
492,889,6,BUY,671,2412.69,2023-03-05
493,832,4,SELL,19,473.67,2022-07-23
494,157,9,SELL,810,1316.55,2024-04-22
495,668,9,SELL,691,2452.22,2023-12-23
496,651,10,BUY,123,783.43,2024-03-15
497,633,9,SELL,452,1418.84,2023-09-24
498,577,3,BUY,367,1870.37,2023-10-07
499,619,3,BUY,546,2162.91,2023-09-28
500,659,4,BUY,377,1571.89,2022-07-09
501,137,9,SELL,950,2171.48,2022-06-08
502,923,6,BUY,314,2261.26,2023-05-06
503,674,9,BUY,783,2501.71,2022-03-30
504,428,8,BUY,541,2725.14,2023-12-26
505,452,7,SELL,185,2111.68,2023-04-24
506,612,5,BUY,242,2692.63,2023-05-18
507,850,9,SELL,134,191.28,2023-11-27
508,911,4,SELL,46,398.72,2022-10-07
509,819,4,SELL,873,1218.98,2023-05-29
510,141,8,BUY,71,507.6,2023-08-09
511,83,4,SELL,27,1018.77,2022-06-17
512,177,7,BUY,729,2651.93,2022-03-25
513,198,4,BUY,641,376.79,2024-01-09
514,624,1,SELL,585,1910.56,2023-02-01
515,568,10,BUY,662,694.42,2022-07-29
516,972,9,BUY,150,1480.49,2022-07-23
517,691,4,SELL,949,1193.98,2023-01-17
518,421,3,BUY,636,2594.74,2023-06-18
519,401,3,BUY,450,1621.49,2023-10-14
520,698,9,SELL,198,2466.4,2024-03-09
521,471,8,BUY,881,1248.0,2023-09-29
522,218,10,BUY,349,1988.49,2022-08-16
523,925,7,SELL,961,2728.39,2023-09-15
524,929,7,SELL,311,454.5,2024-01-05
525,828,4,SELL,209,1685.1,2024-05-07
526,987,3,SELL,111,1899.82,2023-11-12
527,729,4,BUY,224,1855.47,2023-09-27
528,632,6,BUY,300,1658.69,2022-08-21
529,951,4,BUY,37,2385.83,2023-03-06
530,906,4,SELL,806,185.56,2024-02-08
531,175,2,SELL,452,1992.12,2022-04-04
532,23,7,BUY,517,2659.85,2023-12-27
533,725,6,SELL,754,2745.55,2022-11-16
534,917,2,SELL,279,540.93,2022-02-20
535,235,5,SELL,700,1809.2,2023-02-21
536,13,6,BUY,298,848.13,2022-01-28
537,101,5,BUY,721,2171.44,2023-12-08
538,929,4,SELL,610,247.61,2024-02-18
539,536,9,BUY,152,380.5,2023-03-04
540,876,3,SELL,426,2020.88,2022-01-19
541,523,2,SELL,754,1648.63,2023-10-06
542,785,9,BUY,753,2688.98,2024-03-19
543,452,8,SELL,501,94.44,2022-06-17
544,431,9,BUY,816,2107.63,2023-12-04
545,793,10,SELL,994,2145.41,2022-03-17
546,606,3,SELL,634,2489.39,2023-03-04
547,713,1,BUY,995,2313.98,2023-10-31
548,533,1,SELL,774,1561.7,2024-03-13
549,852,3,SELL,742,867.97,2023-07-23
550,979,4,SELL,195,1188.5,2024-02-05
551,723,2,BUY,238,1572.46,2022-02-13
552,652,8,SELL,784,23.44,2023-05-10
553,293,3,BUY,413,280.52,2023-11-20
554,810,4,SELL,202,1631.42,2022-07-10
555,913,6,BUY,58,2987.56,2022-02-04
556,101,10,SELL,477,1135.71,2024-04-30
557,502,6,SELL,735,2398.32,2024-05-25
558,304,2,SELL,387,1152.36,2023-04-04
559,871,6,BUY,871,382.09,2022-04-07
560,540,4,SELL,622,2527.74,2023-03-13
561,553,5,SELL,22,1976.03,2022-02-11
562,355,7,BUY,495,406.85,2023-07-26
563,303,7,SELL,833,1313.77,2022-11-05
564,496,6,SELL,159,684.02,2024-02-27
565,658,10,BUY,773,2003.55,2024-01-03
566,768,6,BUY,475,1398.97,2023-04-27
567,974,6,SELL,887,902.36,2023-02-16
568,227,4,SELL,806,1673.99,2022-09-12
569,236,3,SELL,404,2716.87,2022-01-23
570,873,1,SELL,961,1251.38,2022-04-20
571,892,3,SELL,343,2898.29,2022-05-03
572,455,3,SELL,381,2138.0,2024-05-02
573,13,9,BUY,576,1811.8,2023-06-17
574,210,3,SELL,452,188.63,2024-04-20
575,741,8,SELL,798,2432.17,2024-03-29
576,397,8,BUY,196,2020.9,2023-02-18
577,100,3,BUY,885,389.5,2023-07-12
578,31,10,SELL,391,41.72,2022-09-17
579,898,10,BUY,957,2807.74,2022-09-16
580,528,6,BUY,860,603.37,2022-12-24
581,649,8,BUY,692,1271.68,2023-11-16
582,329,8,BUY,125,1262.31,2024-06-11
583,166,10,BUY,159,267.04,2023-01-19
584,459,10,BUY,273,2414.43,2023-10-07
585,822,9,BUY,206,1814.95,2022-05-31
586,952,9,BUY,787,1609.92,2022-12-25
587,982,8,SELL,391,2590.17,2022-08-14
588,993,7,BUY,634,2731.8,2022-03-20
589,100,10,BUY,879,394.71,2024-03-29
